time,v_id,trip_utilisation
13055,325,0.15082343929528916
13055,447,0.7546296296296297
13069,319,0.755729794933655
13069,293,0.11181434599156118
13071,95,0.11766506005661388
13089,338,0.31872852233676974
13094,87,0.033144951886360165
13094,132,0.6288659793814433
13097,390,0.6748329621380846
13110,246,0.10411899313501144
13126,46,0.6223337515683814
13129,173,0.19389485585076313
13134,144,0.47606019151846785
13136,451,0.8298330640818524
13141,112,0.8690064260998517
13154,157,0.4356589147286822
13159,235,0.6787842669845053
13167,496,0.14592430858806404
13167,67,0.4362272240085745
13169,189,0.5944767441860465
13175,383,0.5387160820648577
13175,143,0.6353211009174312
13181,438,0.8543554006968641
13190,430,0.5862884160756501
13198,216,0.7514053716427233
13209,155,0.47345132743362833
13220,362,0.1466717095310136
13220,405,0.1083963691376702
13232,469,0.6263796909492274
13244,175,0.1719269102990033
13252,494,0.9488559892328399
13264,161,0.7101123595505618
13266,284,0.09236378367429614
13267,121,0.10409286198839225
13291,8,0.5595301655098772
13296,30,0.16319683413626979
13301,48,0.456231884057971
13311,49,0.32036382011116726
13318,116,0.7820945945945946
13323,486,0.5054127198917456
13325,152,0.9046951646811493
13327,57,0.01830869663089968
13331,256,0.32190132370637786
13336,274,0.09335632873425315
13337,83,0.3975069252077562
13345,197,0.09913825402772573
13349,419,0.1472769495842385
13363,300,0.16773393926874614
13383,192,0.6473906911142454
13393,355,0.8968763371844245
13402,400,0.6624293785310734
13403,292,0.44147398843930635
13409,182,0.5924137931034483
13409,19,0.6721204188481675
13412,228,0.6116739025566812
13414,364,0.5206896551724138
13428,308,0.5511520737327189
13431,278,0.05539423721241903
13431,480,0.39507389162561574
13434,234,0.5661989017693716
13440,214,0.677703052250388
13453,128,0.6148901981788967
13463,406,0.6936936936936937
13465,14,0.6571428571428571
13466,312,0.37631476431632255
13469,185,0.6888513513513513
13474,222,0.5848182466143977
13482,97,0.43693962940824865
13484,238,0.8273381294964028
13489,195,0.1648009489213433
13490,125,0.42793045429052157
13490,416,0.46234817813765183
13492,262,0.6171360095865788
13512,347,0.6128625472887768
13516,482,0.7069805194805194
13545,374,0.46809712027103334
13547,220,0.47426177174780526
13551,198,0.6497747747747747
13573,99,0.4449244060475162
13573,211,0.2929745889387145
13576,6,0.841596130592503
13580,20,0.49434290687554394
13583,171,0.08113082529632629
13589,471,0.6630785791173305
13590,229,0.38145868308151465
13606,115,0.14171711612548157
13611,241,0.3832703213610586
13620,491,0.7406542056074766
13622,281,0.07840258405520481
13624,153,0.6347897774113768
13624,402,0.5101058710298364
13639,205,0.9131776112825033
13655,168,0.4061738424045491
13658,453,0.8032443746729461
13658,350,0.6150598170302604
13664,414,0.10797393732547317
13669,9,0.15991471215351813
13675,436,0.8358061325420376
13676,314,0.04138637028370869
13677,411,0.5432525951557093
13686,345,0.47699530516431926
13687,295,0.5904590459045904
13688,398,0.24501589136087837
13692,422,0.6066217732884399
13699,176,0.2572373862696443
13705,330,0.5734767025089605
13723,124,0.054069809808350945
13729,475,0.524008350730689
13730,193,0.49235048678720444
13731,377,0.3191919191919192
13737,231,0.3458544839255499
13740,396,0.6402321083172147
13744,219,0.6175984121733378
13745,248,0.5767441860465117
13748,489,0.44435674822415155
13755,446,0.7124248496993988
13758,298,0.32104902296880355
13759,361,0.5531697341513292
13766,441,0.5300899239105372
13783,379,0.30613073487616727
13783,437,0.7762376237623763
13783,52,0.24688279301745636
13784,254,0.6558791801510249
13784,404,0.5460048426150121
13790,472,0.8164924506387921
13800,410,0.5668623613829094
13802,354,0.5918181818181818
13809,243,0.6126482213438735
13817,481,0.5407089988313206
13824,221,0.8779443254817987
13831,149,0.5906113537117904
13851,210,0.21107128634010355
13851,430,0.6127080181543116
13854,73,0.6096654275092936
13854,67,0.7569141193595342
13855,95,0.6709183673469388
13857,251,0.1461609620721554
13873,484,0.6813024173655648
13884,50,0.09636992221261884
13885,495,0.7818181818181819
13885,386,0.7750200160128102
13887,466,0.8676258992805755
13890,344,0.5552359033371692
13890,435,0.09690424766018718
13894,129,0.6019202363367799
13897,78,0.47479259731971923
13899,449,0.07561915244909191
13908,486,0.7811965811965812
13911,401,0.553014553014553
13911,403,0.574108818011257
13914,0,0.10837222870478413
13915,165,0.05425799496945742
13916,126,0.6429539295392954
13925,224,0.10096947935368043
13926,432,0.6353305785123967
13927,400,0.38285714285714284
13930,460,0.12699210337401293
13930,235,0.41893644617380027
13931,331,0.7248322147651006
13932,373,0.6203501094091903
13933,488,0.6501111934766494
13936,127,0.6884164222873901
13938,380,0.7883211678832117
13964,440,0.6780198019801981
13971,307,0.7560491868306227
13981,106,0.2205528846153846
13982,270,0.7902403495994174
13988,225,0.49454905847373637
13989,304,0.5389972144846796
13989,419,0.5390625
13993,451,0.7234539089848308
13995,175,0.6671105193075899
13995,94,0.6809872029250457
14005,40,0.43985137018114256
14016,96,0.21009463722397476
14021,286,0.6561922365988909
14023,199,0.7092280905397562
14024,342,0.7748943874471937
14029,296,0.12017962791360753
14032,240,0.42344961240310075
14040,72,0.0853548966756514
14040,375,0.2913907284768212
14045,172,0.8765133171912833
14052,31,0.5654450261780105
14062,465,0.3778328611898017
14076,12,0.6597836774827925
14077,291,0.5412566237698713
14079,298,0.6947040498442367
14081,450,0.8121597096188747
14082,176,0.8590078328981723
14083,4,0.16954670673678937
14086,194,0.8607367475292004
14087,371,0.13608291332434158
14092,64,0.2536010475774771
14103,434,0.13982840530383606
14107,397,0.8167604752970606
14110,294,0.700227100681302
14123,2,0.7207995003123048
14129,242,0.7054610564010743
14136,17,0.17692416525183927
14143,27,0.3934188741721854
14150,408,0.07497005988023953
14155,383,0.4520408163265306
14158,267,0.04301455007769459
14163,346,0.9076662431173231
14168,318,0.6555082166768107
14171,293,0.6079854809437386
14171,303,0.36555716353111434
14172,423,0.890770533446232
14174,215,0.28686010851615945
14175,351,0.6624649859943977
14177,38,0.6385542168674698
14184,250,0.516366612111293
14194,420,0.5782800441014333
14197,218,0.2835411471321696
14201,241,0.6661016949152543
14201,124,0.6171548117154811
14211,337,0.42498036135113904
14221,253,0.12136980521763589
14224,461,0.5958631662688942
14227,407,0.3076923076923077
14232,46,0.6220614828209765
14239,268,0.8229508196721311
14249,161,0.700507614213198
14250,277,0.1016140350877193
14250,302,0.5554063129617193
14251,170,0.564526588845655
14282,36,0.1429469054351241
14287,26,0.0581647651711346
14295,189,0.7353463587921847
14304,128,0.33137485311398357
14323,394,0.7874339401056958
14333,368,0.12381314090391189
14337,336,0.6688382193268186
14349,338,0.5896825396825397
14359,56,0.12233912405187179
14360,319,0.7420604182804028
14364,47,0.3233301064859632
14372,455,0.1415402914064823
14375,184,0.35509660226515655
14375,298,0.48986486486486486
14386,120,0.11497289031002364
14388,29,0.5201149425287356
14393,401,0.7053941908713693
14393,121,0.22291296625222023
14394,335,0.2744122189806075
14394,154,0.21199011124845488
14399,133,0.534319302237391
14406,425,0.7464731962918179
14407,355,0.5641025641025641
14410,332,0.807332854061826
14415,249,0.8086890243902439
14415,261,0.7449551569506726
14417,443,0.04577928834015398
14423,148,0.7534906114588349
14437,333,0.11311214241185842
14445,174,0.4749582637729549
14455,93,0.028363887928052577
14455,281,0.575030012004802
14457,197,0.49550359712230213
14457,453,0.5331664580725908
14459,150,0.8053839364518977
14464,324,0.530062197650311
14469,182,0.5688679245283019
14474,199,0.6319290465631929
14474,265,0.09416885449772006
14474,9,0.5503105590062112
14477,50,0.5649241146711635
14488,90,0.08586416344561015
14525,498,0.6672771672771672
14527,412,0.6357729138166894
14528,259,0.33990980834272827
14533,52,0.6106666666666667
14539,423,0.5994550408719346
14545,481,0.5796703296703297
14550,466,0.5942684766214178
14562,482,0.615678776290631
14572,200,0.6988950276243094
14572,326,0.6244239631336406
14578,400,0.7127496159754224
14581,48,0.3265625
