p_id,request_t,trip_d,trip_t,VoT,fare,prefer_EV
3700,23610,5296.771360590544,580,0.0094,10.23,True
3701,23618,11544.955720019008,995,0.009780555555555556,15.77,True
3702,23629,28035.24656631808,2036,0.007047222222222222,29.65,True
3703,23633,11328.596605585008,1282,0.009702777777777777,19.59,True
3704,23650,25625.32021773091,2168,0.008308333333333334,31.41,True
3705,23660,9520.790445721805,1075,0.007180555555555556,16.83,True
3706,23664,3818.3497929305568,386,0.008216666666666666,7.65,True
3707,23669,4473.511484651397,475,0.009366666666666666,8.83,True
3708,23676,8296.071100841615,688,0.00878888888888889,11.67,True
3709,23684,4097.258416504533,326,0.008552777777777777,6.85,True
3710,23685,5785.7046209124655,596,0.009927777777777778,10.45,True
3711,23686,12433.263804300364,781,0.007875,12.91,True
3712,23692,14591.025216313576,1626,0.008702777777777778,24.18,True
3713,23695,11428.181472047869,904,0.010266666666666667,14.55,True
3714,23702,12096.018117964784,1117,0.010097222222222223,17.39,True
3715,23702,3964.797145147837,444,0.008875,8.42,True
3716,23708,6457.034350666734,546,0.008722222222222221,9.78,True
3717,23713,3881.384238500221,386,0.008369444444444445,7.65,True
3718,23716,5992.029772949454,686,0.008408333333333334,11.65,True
3719,23721,7930.0759887383165,664,0.008677777777777777,11.35,True
3720,23724,10989.26495386504,934,0.010375,14.95,True
3721,23728,4539.8637653725145,439,0.008505555555555556,8.35,True
3722,23750,4883.765532158549,388,0.00885,7.67,True
3723,23755,15064.094765828077,1678,0.009555555555555555,24.87,True
3724,23769,4000.4063139907953,380,0.010055555555555557,7.57,True
3725,23770,2331.8165755515547,265,0.007841666666666667,6.03,True
3726,23780,6213.74480820494,516,0.00806388888888889,9.38,True
3727,23785,5407.570577846785,640,0.008427777777777777,11.03,True
3728,23802,6736.770081093328,604,0.008869444444444444,10.55,True
3729,23811,7615.704973510092,657,0.007699999999999999,11.26,True
3730,23816,13249.839627943742,1128,0.009622222222222223,17.54,True
3731,23821,9776.842382048251,718,0.008338888888888889,12.07,True
3732,23826,3176.865390827977,384,0.007438888888888889,7.62,True
3733,23827,7478.864181210041,546,0.010555555555555556,9.78,True
3734,23840,2680.616366105174,343,0.00733888888888889,7.07,True
3735,23844,3541.1437733456696,471,0.007525,8.78,True
3736,23846,3267.6304782535594,378,0.009258333333333334,7.54,True
3737,23853,5213.954106218352,579,0.008891666666666666,10.22,True
3738,23860,12904.241867294377,1110,0.00815,17.3,True
3739,23860,5611.443100164695,465,0.007788888888888889,8.7,True
3740,23862,17585.819471773615,1868,0.009244444444444444,27.41,True
3741,23864,10613.27612008977,945,0.008450000000000001,15.1,True
3742,23868,23845.305269723533,2410,0.009380555555555557,34.63,True
3743,23870,12136.127012466945,1268,0.008233333333333334,19.41,True
3744,23874,8595.772780400122,738,0.010283333333333334,12.34,True
3745,23884,7821.055699518626,735,0.007955555555555556,12.3,True
3746,23886,10387.973508337074,837,0.008986111111111111,13.66,True
3747,23887,3968.718388478485,303,0.007747222222222222,6.54,True
3748,23899,15052.863216806649,1279,0.008505555555555556,19.55,True
3749,23902,6386.470094148002,568,0.009277777777777777,10.07,True
