,cs,tt
371188750,42432444,674
42449938,42432444,155
42453011,42432444,278
593886226,42432444,404
42449942,42432444,119
42449945,42432444,81
42449947,42432444,165
42449948,42432444,147
42443804,42432444,106
42432540,42432444,392
42449954,42432444,220
42432548,42432444,352
42434087,42432444,238
42434090,42432444,215
42434092,42432444,390
593886253,42432444,430
4950763054,42432444,699
4950763055,42432444,705
370912817,42432444,826
42445365,42432444,327
42445374,42432444,309
42445378,42432444,252
42433604,42432444,319
42445382,42432444,280
42445387,42432444,357
42445390,42432444,378
42445903,42432444,358
42445392,42432444,431
42454522,42432444,482
42445908,42432444,267
42445909,42432444,252
42445910,42432444,229
42446935,42432444,365
42446934,42432444,371
42446933,42432444,422
42445914,42432444,185
42446932,42432444,537
42445916,42432444,140
42446941,42432444,233
42446942,42432444,234
42445917,42432444,262
42446945,42432444,247
42445411,42432444,428
42446949,42432444,211
42445413,42432444,371
3734911590,42432444,991
42445417,42432444,496
42446959,42432444,23
42422899,42432444,290
3831856757,42432444,265
42446971,42432444,45
6176628861,42432444,317
42446977,42432444,66
42436748,42432444,424
42436751,42432444,479
42442895,42432444,539
42436753,42432444,401
42436754,42432444,478
42442898,42432444,569
42442902,42432444,507
42442906,42432444,420
42442910,42432444,450
42442913,42432444,362
42442918,42432444,233
4274141356,42432444,855
2302133933,42432444,594
42443950,42432444,329
42442931,42432444,261
4597668020,42432444,342
42442933,42432444,263
42451126,42432444,862
42442935,42432444,284
42442937,42432444,160
42442939,42432444,192
42442943,42432444,222
595105472,42432444,289
42442947,42432444,186
42453187,42432444,412
42454214,42432444,768
4597668044,42432444,429
589099734,42432444,421
595105496,42432444,352
1701844698,42432444,272
595105499,42432444,336
42458333,42432444,223
3786901738,42432444,309
42438891,42432444,215
42423020,42432444,348
3786901743,42432444,283
3639382767,42432444,117
3639382769,42432444,309
3639382768,42432444,217
595105531,42432444,269
595105538,42432444,269
5852272391,42432444,333
561042188,42432444,371
561042190,42432444,290
561042191,42432444,321
561042192,42432444,256
561042193,42432444,228
561042194,42432444,177
42444051,42432444,129
42449683,42432444,195
561042195,42432444,205
561042197,42432444,127
561042199,42432444,112
42449685,42432444,173
561042201,42432444,86
42444049,42432444,87
561042198,42432444,121
561042200,42432444,99
42449689,42432444,255
42444055,42432444,248
1632878885,42432444,727
595105581,42432444,380
595105589,42432444,360
6166333257,42432444,202
42445649,42432444,340
42445651,42432444,207
42445653,42432444,137
42445656,42432444,223
42445661,42432444,137
42445664,42432444,184
42445666,42432444,311
42445667,42432444,296
589099881,42432444,427
42430314,42432444,442
42455915,42432444,316
42430317,42432444,413
42446701,42432444,472
42430320,42432444,384
1632878962,42432444,641
42455929,42432444,239
42455932,42432444,371
42455933,42432444,507
42450814,42432444,336
42434946,42432444,414
42434948,42432444,296
42434951,42432444,252
42434954,42432444,337
42434959,42432444,221
42434962,42432444,267
42434965,42432444,316
42434969,42432444,345
42449308,42432444,338
370924957,42432444,820
42434974,42432444,346
42449314,42432444,313
3904954788,42432444,364
3904954792,42432444,378
42448813,42432444,233
42432438,42432444,163
42432444,42432444,0
42446270,42432444,488
42426816,42432444,196
42429890,42432444,549
42432451,42432444,101
42446275,42432444,431
5993830853,42432444,514
42432458,42432444,148
42432464,42432444,227
5131026388,42432444,332
42423774,42432444,778
42454495,42432444,362
42453986,42432444,166
42426851,42432444,373
248708582,42432444,249
248708583,42432444,365
42436582,42432444,607
42456555,42432444,540
