from_node,to_node,road_id,from_node_lon,from_node_lat,to_node_lon,to_node_lat,distance,duration
254342115,587934436,7529,-73.9508067,40.8313944,-73.950962,40.8310864,36.66054682,6
254342293,42425242,7530,-73.957871,40.8224172,-73.9596517,40.8203291,277.5237885,90
254342293,254484327,7531,-73.957871,40.8224172,-73.9640654,40.8155192,929.2960538,154
254484327,61261100,7532,-73.9640654,40.8155192,-73.9760921,40.7968698,2314.610508,383
272194254,42453398,7533,-74.011617,40.7136173,-74.0134178,40.7144376,177.1111263,66
272194254,4143765783,7534,-74.011617,40.7136173,-74.0117733,40.7130017,69.69792695,25
272195270,42453952,7535,-74.0081225,40.7119926,-74.0096747,40.7127264,154.4603248,58
272195270,42428391,7536,-74.0081225,40.7119926,-74.0086338,40.7113899,79.68309363,31
272195271,42431611,7537,-74.0063041,40.7141733,-74.0079521,40.7149352,162.7275943,59
272195271,42431602,7538,-74.0063041,40.7141733,-74.0048235,40.7134886,146.2092189,53
272195271,2821304136,7539,-74.0063041,40.7141733,-74.006753,40.713618,72.41420974,30
272196096,42427412,7540,-74.017764,40.7079616,-74.017398,40.708457,63.13236174,24
274342021,274342024,7541,-73.9741568,40.72445,-73.9745044,40.7245958,55.65248433,34
274342021,42430945,7542,-73.9741568,40.72445,-73.9735174,40.7241822,61.58361185,29
274342024,274342021,7543,-73.9745044,40.7245958,-73.9741568,40.72445,49.60747559,28
274342024,42430942,7544,-73.9745044,40.7245958,-73.975164,40.724877,63.79730495,30
278608643,42423307,7545,-73.9939847,40.7093172,-73.9816369,40.7107361,1053.759707,240
278609760,42438476,7546,-73.9994304,40.7082883,-74.0001406,40.7079114,73.0828163,27
278609760,42444108,7547,-73.9994304,40.7082883,-73.9990003,40.7085457,46.19363424,17
278609863,278608643,7548,-74.0009031,40.7095901,-73.9939847,40.7093172,702.6565672,199
278609934,278609863,7549,-74.0015481,40.7096039,-74.0009031,40.7095901,57.56047999,25
278609934,42422283,7550,-74.0015481,40.7096039,-74.001657,40.7094916,15.53097094,7
278609934,3884569924,7551,-74.0015481,40.7096039,-74.0012106,40.7100562,57.7789406,23
279151954,42444353,7552,-74.0137888,40.7023934,-74.0144384,40.7031516,102.454089,42
279151954,42426747,7553,-74.0137888,40.7023934,-74.0128371,40.7024415,81.40289843,32
279151954,607911351,7554,-74.0137888,40.7023934,-74.0139762,40.7014943,108.7259234,67
279152444,42433715,7555,-74.0179459,40.7069912,-74.0175699,40.7068323,36.29073818,14
302095403,42454893,7556,-73.933427,40.8630268,-73.9318018,40.8635192,170.7823118,101
302095403,374482644,7557,-73.933427,40.8630268,-73.9333479,40.8642126,148.456586,52
302097273,42454089,7558,-73.9382852,40.853811,-73.938378,40.853537,31.45133104,19
339044224,42436393,7559,-74.0058581,40.7331346,-74.0063829,40.733055,45.12225923,21
358447541,42434821,7560,-74.0009811,40.7488385,-74.0023198,40.7502203,260.6329208,473
358447541,42444933,7561,-74.0009811,40.7488385,-73.9999781,40.7484089,97.11932764,35
358448394,42437688,7562,-73.9980331,40.7510669,-73.9981551,40.7509001,21.20596774,8
358448394,427841073,7563,-73.9980331,40.7510669,-73.999556,40.7519412,171.0496481,71
370880739,4145735059,7564,-74.0120124,40.7016074,-74.0098577,40.7019257,251.1823185,103
370880739,42426747,7565,-74.0120124,40.7016074,-74.0128371,40.7024415,151.0584273,56
370880758,42421951,7566,-74.0077898,40.703049,-74.0077787,40.7033242,30.86868288,13
370880758,42421965,7567,-74.0077898,40.703049,-74.0079771,40.7032082,23.82989763,10
370880761,42451370,7568,-74.0090399,40.7024287,-74.0159533,40.706677,1144.153892,323
370880761,3790255302,7569,-74.0090399,40.7024287,-74.0107988,40.7018767,162.0908165,63
370888100,205024444,7570,-73.9805509,40.7109349,-73.9968491,40.7090266,1391.296308,316
370888100,370888101,7571,-73.9805509,40.7109349,-73.9823467,40.7108766,151.5426527,34
370888101,42434832,7572,-73.9823467,40.7108766,-73.983255,40.710816,76.87461503,28
370892861,370894980,7573,-73.9755366,40.7165045,-73.9745509,40.7212873,539.6899809,127
370892861,42423051,7574,-73.9755366,40.7165045,-73.9747446,40.7188498,271.501419,64
370893396,42442788,7575,-73.9763409,40.7191978,-73.976395,40.7190692,15.00735182,6
370893396,42453613,7576,-73.9763409,40.7191978,-73.9787205,40.7200008,220.9898892,88
370893397,370893396,7577,-73.9754354,40.7190113,-73.9763409,40.7191978,79.10840502,31
370894980,370897167,7578,-73.9745509,40.7212873,-73.9716488,40.7282767,823.1944852,193
370897167,370913758,7579,-73.9716488,40.7282767,-73.9744666,40.7372444,1069.013985,208
370897167,5145531517,7580,-73.9716488,40.7282767,-73.9739854,40.7312318,429.8263089,107
370898426,42423549,7581,-73.9721522,40.7296229,-73.9747141,40.7210513,1005.014239,238
370912817,42423774,7582,-73.9728988,40.7406713,-73.9737798,40.738358,270.0627008,48
370913758,42422509,7583,-73.9744666,40.7372444,-73.974153,40.7374587,35.59073589,12
370913758,370913779,7584,-73.9744666,40.7372444,-73.9729172,40.7397659,310.6819211,52
370913779,370914027,7585,-73.9729172,40.7397659,-73.9713381,40.7441991,514.1936639,86
370914027,3734911590,7586,-73.9713381,40.7441991,-73.9694075,40.7464132,296.414371,51
370914027,248708582,7587,-73.9713381,40.7441991,-73.969703,40.7487554,661.5404306,226
370924677,5779545445,7588,-73.9640192,40.7529089,-73.9683571,40.7478125,674.6329753,111
370924677,42438898,7589,-73.9640192,40.7529089,-73.9648919,40.7525319,98.50299058,35
370924957,371188750,7590,-73.9633251,40.753394,-73.9583831,40.7590213,754.073451,146
370927297,42452882,7591,-73.9631956,40.7542669,-73.9652501,40.7551302,198.0290319,115
371037281,42448326,7592,-73.9629232,40.7600363,-73.9619593,40.759619,93.57854464,27
371188320,42427970,7593,-73.9560856,40.761127,-73.9579282,40.7611623,173.1492323,67
371188320,406006393,7594,-73.9560856,40.761127,-73.9582084,40.7593476,269.1698057,50
371188750,371188756,7595,-73.9583831,40.7590213,-73.9558377,40.761183,324.1960253,56
371188750,589298584,7596,-73.9583831,40.7590213,-73.9582216,40.7595804,63.63375753,21
371188756,371207282,7597,-73.9558377,40.761183,-73.9440144,40.7809188,2573.150514,320
371197453,42428012,7598,-73.9504944,40.7672359,-73.9527843,40.7681847,219.9997583,127
371206270,42428003,7599,-73.9524023,40.7645668,-73.9547034,40.765554,222.8997447,53
371206271,42438513,7600,-73.9473388,40.7709708,-73.9475897,40.7710722,23.96988433,14
371206274,42451754,7601,-73.9468096,40.7715895,-73.9471185,40.7717169,29.64585006,18
371207282,42424025,7602,-73.9440144,40.7809188,-73.9437553,40.7828662,218.5073724,76
371207282,371209940,7603,-73.9440144,40.7809188,-73.9420913,40.7842992,441.3922164,81
371209940,5959713761,7604,-73.9420913,40.7842992,-73.933448,40.8071069,3051.68271,551
371218803,42435240,7605,-73.9297581,40.7961626,-73.931743,40.796988,190.8559612,110
371225088,42424109,7606,-73.9298866,40.8001589,-73.9304732,40.794774,626.713175,119
371239962,42443116,7607,-73.9313853,40.8018404,-73.9335781,40.8027762,212.1393093,48
371239962,42444461,7608,-73.9313853,40.8018404,-73.9311972,40.8017608,18.16085936,5
371337150,371337197,7609,-73.9348455,40.8097235,-73.9340075,40.8169771,811.213524,136
371337150,42437929,7610,-73.9348455,40.8097235,-73.9359874,40.8120663,324.1763917,109
371337165,42437929,7611,-73.936037,40.811994,-73.9359874,40.8120663,9.060840116,3
371337165,589928047,7612,-73.936037,40.811994,-73.9349447,40.8115281,106.1234449,63
371337175,42456831,7613,-73.9361076,40.8147669,-73.9357582,40.8153225,68.88529877,19
371337175,5378686574,7614,-73.9361076,40.8147669,-73.9361974,40.8147964,8.250899337,3
371337197,371337250,7615,-73.9340075,40.8169771,-73.934936,40.8300525,1458.236402,244
371337226,371337227,7616,-73.9355403,40.8267488,-73.9352662,40.8266342,26.3889198,13
371337226,2141002590,7617,-73.9355403,40.8267488,-73.936155,40.8258219,115.3521579,27
371337227,371337226,7618,-73.9352662,40.8266342,-73.9355403,40.8267488,26.3889198,13
371337227,589927921,7619,-73.9352662,40.8266342,-73.9351572,40.8276502,116.007353,29
